experiment,model,micro_f1,macro_f1,weighted_f1
D_fs_tuning,StackingEnsemble,0.7404230957914903,0.6859526074019517,0.7345729879607401
D_fs_tuning,XGBoost,0.7402811153037056,0.6856526126771854,0.7341619122176869
C_no_fs_tuning,XGBoost,0.7398551807609022,0.6861487517543182,0.7339288543973468
C_no_fs_tuning,StackingEnsemble,0.7398359894090826,0.6860197541305801,0.7341327866849697
A_no_fs_no_tuning,XGBoost,0.7385581750317312,0.6836694401569298,0.7322358457210845
A_no_fs_no_tuning,StackingEnsemble,0.737733158053925,0.6826728341773102,0.7318014349221044
B_fs_no_tuning,XGBoost,0.7370002443396404,0.680152367176553,0.730147455038269
B_fs_no_tuning,StackingEnsemble,0.7365244195413225,0.6798062480910148,0.7300558444697307
C_no_fs_tuning,LightGBM,0.7360601045035665,0.6799201312376835,0.7292935109567177
D_fs_tuning,LightGBM,0.7346633336505498,0.6761366816152893,0.7272731818163499
B_fs_no_tuning,LightGBM,0.7256533943692596,0.6607098403106795,0.7164352802331179
A_no_fs_no_tuning,LightGBM,0.724897444495079,0.662657908401166,0.716581871630118
C_no_fs_tuning,RandomForest,0.7217163434403471,0.6509629835912057,0.7116614825723789
B_fs_no_tuning,RandomForest,0.7193794401135454,0.6483182487186283,0.7080874813710709
D_fs_tuning,RandomForest,0.7130901334242566,0.6402052897070455,0.7003449694505106
A_no_fs_no_tuning,RandomForest,0.7128714050514401,0.6394893762202946,0.7004563847803473
